"But keep listening to Drake, then Led Zep, then whatever mainstream pop or rap shit you listen to and say you know real music. lol",1
@MichaelRapaport drake jus dat kid who would do anything to be cool in the moment for the Ppl around like all I ever wanted was to be cool,1
@NoGoldKnuckles lmfao this is the second time you've disputed against me. Ur such a poor drake idiot,1
Why meek and Drake keep throwing shade at each other I'm sick of this,1
So ive gotten i look like the Weeknd and ilovemakonnen... 2 Drake mfs i dont like it _é_‰_éè_,1
Drake _é_ë. https://t.co/t19yCNMXvw,1
fuck drake cuz he ain't real imogen heap is realer than drake but she's also realer than most people so i guess that's not a good comparison,1
drake sucks,1
These dudes go off in this drake diss!_éÇ‹_éÓä https://t.co/6MqJ8PR9bc,1
"I can't tell who's worse, J. Cole fans or Drake fans.",1
U A BIIIGGG FAKEEE @Drake U R KILLED ON YOUR OWN SONG AND U KNOW IT! CONTROLLA IS FLAT WITHOUT @PopcaanMusic DEM NOT READY POPPI #VIEWS,1
Drake a dick rider https://t.co/eMSZLwAM0D,1
i hate drake but i do want him to smash my contoured cakes to smithereens,1
"Ight I'm just gunna say it...I hate Drake, can't stand listening to his songs. #dyingatm",1
I hate Drake's music. He is a whiny girl.,1
"I love LeBron. I love him even more for screaming ""views was trash"" @ Drake. I hate Drake. #DrakeAndAdeleWereHurtByTheSameGuy",1
No wonder drake is so shit iv just found out he's fucking Canadian,1
one dance by drake is so ugly idk what people liked it,1
drake is still shit i dont care,1
I hope Drake dies,1
I honestly can't wait till drake becomes irrelevant again.,1
drake's music is starting to annoy me,1
@Drake your music is shit,1
DRAKE IS WASHED LMAO WHAT IS THAT ALBUM ART,1
I will maintain my unpopular opinion that Drake is trash forever,1
No one wants to hear 20 songs of Drake lazy rapping on fake reggae beats.,1
I really don't care for anything drake has ever done,1
I don't like this album man idk drake need to go missing for a while and relax,1
stop hypin up Drake all of his songs sound the same,1
"Drake album is dope when u in a room by yourself at night. but around 2pm and the sun out, that shit sounds stupid",1
How does drake get away with charging people to hear the line 'got so many chains they call me chaining Tatum'???????,1
what killed drake on this album was his overdrawn singing and getting out his vocal range,1
"Wish drake didn't call views an instant classic, because it's really not that great",1
"#Views is baaaddd. Drake is Canadian, rich, and gets laid. We get it, now save us the self congratulating two hours",1
I like Drake music & all but boy after all the controversy surrounding him last year i started to despise that nigga _é€‰,1
"I heard #VIEWS was ehhhh _éÇ__éè_ alrighhht , not Drake's best work",1
Drake is the biggest fraud in rap let alone Hip Hop.,1
"I'm sorry, drake just isn't all that to me anymore...",1
@Drake when are you going to stop stealing from rappin 4tay? #drakesabuster,1
Drake's view from the six is whack PERIOD!,1
Nigga drake 70% R&B 68% of that he didn't even write & 30% rap & 26% of that he didn't write,1
"Only Drake can be considered a ""rapper"" singing over 70% of his albums lmfao",1
Lol YG gotta classic album before Drake Bruh that is Tragic lmao,1
Lol Drake struggling to give YOU DRAKE artistry can't relate _éê—_éè_ <LINK>,1
*cough Drake does his verses last cough cough cause he's scared to get washed cough* <LINK>,1
"Boy drake got peed on and y'all said ""it was only a splash lol""",1
I hate drake rn,1
Wish it was 9272819101992992628302727494262047291 days away still. Fuck drake <LINK>,1
Fuck drake #views,1
Saying Rihanna & Drake make better music than jay & Bey is just deluded. The only decent song they have his Take Care,1
"<MENTION> drake is lame ""rap"" these days can't compare to 90s rap and hip hop",1
Drake got better production backing him but Views just took him back to the same old dried up vistas #BackToBack #GettingOldForThat #Views,1
"Fucking with my head , fucking with my heart only drake understands",1
<MENTION> I don't listen to drake period he sucks . Eminem >>>>,1
Drake's new album totally sucked,1
Tree played a song from Drake album. I was like wth . I don't even wanna hear the rest _é€ê and I love Drake .,1
"Correct me if I'm wrong but I prefer my artists to make their own music loooool fuck beyonce , fuck drake and... <LINK>",1
Views can blow me drake sucks ass,1
@Drake Views is shit.,1
"Only listened to the drake album first day it dropped , I count listen to that trash again",1
"2. drake
 - no flow
 - cheesy songs
 - all songs about girls
 - punchlines are laughable 
 - doesn't write own raps",1
NAH DRAKE JUST LOST A FAN IM DONE WITH THIS SHENANAGINS... <LINK>,1
Smh... Aubrey Drake Graham... The man I actually idolized managed to change on me,1
Drake my man but that chaining Tatum line was butt,1
<MENTION> but I can't sleep _é€—_é€__éÇ_ I'm afraid that scary terrible new Drake album will start playing when I try to sleep.. I scared _é€±,1
Anybody trying to go to wiz and snoop with me? Fuck drake,1
"drake's new album is pretty mediocre, i'm pretty sad about it",1
still reaching g lol. There was no structure to the album. Production was A1 and lyrics were mediocre but it's Drake <LINK>,1
Drake got too much money. His music suffering. Ain't no pain struggle or love in it,1
I really like drake but I don't like this album.,1
Drake is the epitome of manipulative bitch boy.,1
"Drake says - ""I don't know how to ask you if you're okay "" yet he's too good and she takes his love for granted?",1
"I hate drake song ""too good ""-he says that he doesn't know how to talk to her or be there yet he's TOO GOOD for her? Fuck outta here .",1
the most annoying fan bases are Drake fans and the BeyHive,1
<MENTION> she's reaching Drake level pettiness,1
t mulla composure is way better than drake controlla don't @ me on this,1
I hate this feeling.. I'm doubting Drake's talent a little.,1
What Happend To Drake It Scares Me _é€±,1
Drake been a fraud <LINK>,1
"Not impressed Drake, not impressed",1
drake is overrated.,1
pause why drake playing,1
Drake took The Throne off Pop Style _é€Ç this dude is horrible,1
"I think it's the old Steeler's in the 70s conundrum with Drake, how many ways can you say the same thing and win until it gets old? #VIEWS",1
Rap drake is trash though. <LINK>,1
<MENTION> drake shouldn't be rappin unless he's featuring just sayin,1
Convinced drake don't make his own music period he prolly barely write it,1
"I'm sick of having to play ""who is Drake talking about"" w/each album. He talks mad shit.",1
"<MENTION> Views is way too safe for me; every track is just ""a Drake song"". I dig the newer sounds yonce tries, along with the concept",1
I don't fuck with dancehall Drake,1
Drake groupies make me nauseous lmao,1
Take drake off and put a real lyricist like Vince staples <LINK>,1
"Drake is also a hook bandit, he surfs the old waves for the smooth lines then hijacks them and makes them his own. Originators soak in salt.",1
Lol I hate drake so much,1
"If you think Views is anything classical or artistic, as a Drake stan, I'm here to tell you: you're ugly & wrong.",1
drake a bitch. bitch boy drake,1
<MENTION> I agree that shit is trash. Drake could have kept that shit to his self.,1
I feel like I'm being trolled and one day I'm going to find out that people were joking about actually thinking #Drake's music is good.,1
<MENTION> drake is terrible,1
"Drake new album, sounds like his last album _é_Ó_é_Ó_é_Ó",1
drake _é_ë,1
ust realizing how annoying Drake will be if the Heat have to play Toronto next round,1
Probably the most unpopular opinion but I can't stand Drake and his music is awful _é€_.. #sorrynotsorry,1
Drake's album wasn't all that.,1
HOW IS DRAKE NOT A CANCER?!?!?,1
"Drake's gotta cool down with his chatter, he's nearing purple shirt guy territory",1
"It's funny how Drake doesn't know anything about basketball, just sits over there and talks shit",1
Drake is slowly becoming the most annoying celebrity NBA fan since Spike Lee. Sit yo ass down. <LINK>,1
.<MENTION> it kind of sounds like I swallowed Drake and I'm listening to his muffled cries for help from the inside of my stomach,1
I don't fuck with anybody who has or will purchase tickets for drake and future,1
Drake is forever irrelevant as a rapper. Idgaf what anyone has to say,1
I'm MAD. FURIOUS. i deserve a better drake album than this,1
<MENTION> I feel like Drake lost a lot of fans with this album,1
beyond sick of hearing drake,1
"Really want the raptors to win this game, but I also want to see Drake cry... both can happen, right?",1
drake overrated,1
@Drake go back to acting. Views sucked and you were better off sitting in that wheelchair on Degrassi,1
Drake is that annoying fan lmao,1
<MENTION> views is the typa shit that pussies listen to @Drake,1
<MENTION> Im some Fuck Canada and Fuck Drake shit right now,1
"<MENTION> <MENTION> oh I can definitely think of some shitty acts from there. Nickleback, Justin Bieber, drake, etc",1
drake is more annoying to watch than purple shirt man,1
I've seen enough of drake. His album a good 4 out of 10 and I'm being nice,1
drake ain't that cute. he kinda looks like a tortoise.,1
I'm the only person that get annoyed by drake music ?,1
Is it me or would anyone else wanna punch drake in the mouth if they were an opposing player,1
Drake so annoying at the raptors games_é€_,1
Only want the Pacers to win because of the trash Drake dropped,1
Drake thinks Toronto loves him way more than they actually do...,1
"Views is ass cheeks , worst album drake even put out _é€__éêè",1
